latitude,longitude,number,tmean_C,month
29.000,76.700,0,15.230,2023-12
29.000,76.800,0,15.210,2023-12
29.000,76.900,0,15.220,2023-12
29.000,77.000,0,15.230,2023-12
29.000,77.100,0,15.270,2023-12
29.000,77.200,0,15.360,2023-12
29.000,77.300,0,15.330,2023-12
29.000,77.400,0,15.320,2023-12
29.000,77.500,0,15.340,2023-12
28.900,76.700,0,15.390,2023-12
28.900,76.800,0,15.360,2023-12
28.900,76.900,0,15.350,2023-12
28.900,77.000,0,15.360,2023-12
28.900,77.100,0,15.390,2023-12
28.900,77.200,0,15.380,2023-12
28.900,77.300,0,15.430,2023-12
28.900,77.400,0,15.420,2023-12
28.900,77.500,0,15.430,2023-12
28.800,76.700,0,15.540,2023-12
28.800,76.800,0,15.490,2023-12
28.800,76.900,0,15.480,2023-12
28.800,77.000,0,15.490,2023-12
28.800,77.100,0,15.510,2023-12
28.800,77.200,0,15.490,2023-12
28.800,77.300,0,15.480,2023-12
28.800,77.400,0,15.450,2023-12
28.800,77.500,0,15.510,2023-12
28.700,76.700,0,15.610,2023-12
28.700,76.800,0,15.610,2023-12
28.700,76.900,0,15.630,2023-12
28.700,77.000,0,15.640,2023-12
28.700,77.100,0,15.670,2023-12
28.700,77.200,0,15.670,2023-12
28.700,77.300,0,15.620,2023-12
28.700,77.400,0,15.590,2023-12
28.700,77.500,0,15.570,2023-12
28.600,76.700,0,15.740,2023-12
28.600,76.800,0,15.780,2023-12
28.600,76.900,0,15.840,2023-12
28.600,77.000,0,15.820,2023-12
28.600,77.100,0,15.770,2023-12
28.600,77.200,0,15.790,2023-12
28.600,77.300,0,15.740,2023-12
28.600,77.400,0,15.700,2023-12
28.600,77.500,0,15.680,2023-12
28.500,76.700,0,15.890,2023-12
28.500,76.800,0,15.950,2023-12
28.500,76.900,0,16.000,2023-12
28.500,77.000,0,15.940,2023-12
28.500,77.100,0,15.830,2023-12
28.500,77.200,0,15.790,2023-12
28.500,77.300,0,15.820,2023-12
28.500,77.400,0,15.830,2023-12
28.500,77.500,0,15.790,2023-12
28.400,76.700,0,15.970,2023-12
28.400,76.800,0,16.010,2023-12
28.400,76.900,0,16.020,2023-12
28.400,77.000,0,15.980,2023-12
28.400,77.100,0,15.920,2023-12
28.400,77.200,0,15.900,2023-12
28.400,77.300,0,15.910,2023-12
28.400,77.400,0,15.910,2023-12
28.400,77.500,0,15.880,2023-12
28.300,76.700,0,16.010,2023-12
28.300,76.800,0,16.060,2023-12
28.300,76.900,0,16.070,2023-12
28.300,77.000,0,16.070,2023-12
28.300,77.100,0,16.090,2023-12
28.300,77.200,0,16.090,2023-12
28.300,77.300,0,16.060,2023-12
28.300,77.400,0,16.020,2023-12
28.300,77.500,0,15.960,2023-12
